project,symbol,chain,apy,tvlUsd
aave-v3,USDG,Ethereum,3.73716,10278193
across,USDC,Ethereum,3.6892,1287620
flux-finance,USDC,Ethereum,3.6825,2685817
morpho-blue,USUALUSDC+,Ethereum,3.67402,4900098
liqwid,USDA,Cardano,3.67394,1994128
fluid-lending,USDT,Ethereum,3.67,131768201
strata-markets,SRUSDE,Ethereum,3.66866,51875793
morpho-blue,GTUSDCCORE,Ethereum,3.66544,9117558
sky-lending,SUSDS,Ethereum,3.65,5821509914
spark-savings,USDC,Ethereum,3.65,405286940
spark-savings,USDS,Arbitrum,3.65,358639119
sky-lending,SUSDS,Arbitrum,3.65,358639119
spark-savings,USDS,Base,3.65,222422468
spark-savings,USDC,Avalanche,3.65,28329083
morpho-blue,STEAKUSDC,Base,3.60244,293876504
curve-dex,DOLA-SUSDE,Ethereum,3.60187,61039538
veda,PLASMAUSD,Plasma,3.58277,45881013
stusdt,STUSDT,Tron,3.56158,63112794
pendle,USDG,Ethereum,3.55622,54787779
uniswap-v3,USDC-USDC,Polygon,3.55042,5432269
ondo-yield-assets,USDY,Ethereum,3.55,994482646
ondo-yield-assets,USDY,Sei,3.55,256572624
ondo-yield-assets,USDYC,Ethereum,3.55,251114017
ondo-yield-assets,USDY,Solana,3.55,180711080
ondo-yield-assets,USDY,Stellar,3.55,124202887
ondo-yield-assets,USDY,Mantle,3.55,29444317
ondo-yield-assets,USDY,Sui,3.55,23142944
ondo-yield-assets,USDY,Noble,3.55,15158991
ondo-yield-assets,USDY,Osmosis,3.55,7271418
ondo-yield-assets,USDY,Arbitrum,3.55,5592063
aave-v3,SUSDE,Plasma,3.54501,291861919
morpho-blue,KABUUSDC,Ethereum,3.53879,2051062
convex-finance,USDC-USDT,Ethereum,3.53173,1625435
curve-dex,FRAX-USDC,Ethereum,3.52314,5134145
superstate-ustb,USTB,Ethereum,3.5117,796418549
superstate-ustb,USTB,Plume Mainnet,3.5117,9430182
superstate-ustb,USTB,Solana,3.5117,2627599
frankencoin,ZCHF,Ethereum,3.5,13883035
frankencoin,ZCHF,Gnosis,3.5,1451236
clearpool-lending,USDX,Flare,3.49864,28198541
blackrock-buidl,BUIDL,Ethereum,3.49162,987638288
usual-usd0,BUSD0,Ethereum,3.47111,507404623
convex-finance,DOLA-SUSDS,Ethereum,3.46388,5554415
stusdt,STUSDT,Ethereum,3.46173,1809546
blackrock-buidl,BUIDL,Solana,3.46054,602813648
blackrock-buidl,BUIDL,Polygon,3.46054,36158780
blackrock-buidl,BUIDL,Avalanche,3.4605,624754160
termmax,USDC,Ethereum,3.45623,1002878
lazy-summer-protocol,USDC,Ethereum,3.44905,10530727
morpho-blue,BBQUSDC,Arbitrum,3.43676,14388748
yearn-finance,DAI,Ethereum,3.42478,9473132
curve-dex,DOLA-SUSDS,Ethereum,3.42174,5601278
kamino-lend,PYUSD,Solana,3.42095,9896173
morpho-blue,GTUSDCP,Arbitrum,3.41985,1767533
